M1:vgs (L=1.00e-07) X,M1:vgs (L=1.00e-07) Y,M1:vgs (L=2.00e-07) X,M1:vgs (L=2.00e-07) Y,M1:vgs (L=3.00e-07) X,M1:vgs (L=3.00e-07) Y,M1:vgs (L=4.00e-07) X,M1:vgs (L=4.00e-07) Y,M1:vgs (L=5.00e-07) X,M1:vgs (L=5.00e-07) Y,M1:vgs (L=6.00e-07) X,M1:vgs (L=6.00e-07) Y,M1:vgs (L=7.00e-07) X,M1:vgs (L=7.00e-07) Y,M1:vgs (L=8.00e-07) X,M1:vgs (L=8.00e-07) Y,M1:vgs (L=9.00e-07) X,M1:vgs (L=9.00e-07) Y,M1:vgs (L=1.00e-06) X,M1:vgs (L=1.00e-06) Y
0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002,0.5460000000000002
0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002,0.5470000000000002
0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002,0.5480000000000002
0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002,0.5490000000000002
0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002
0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002,0.5510000000000002
0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002,0.5520000000000002
0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002,0.5530000000000002
0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002,0.5540000000000002
0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002,0.5550000000000002
0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002,0.5560000000000002
0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002,0.5570000000000002
0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002,0.5580000000000002
0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002,0.5590000000000002
0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002
0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002,0.5610000000000002
0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002,0.5620000000000002
0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002,0.5630000000000002
0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002,0.5640000000000002
0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002,0.5650000000000002
0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002,0.5660000000000002
0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002,0.5670000000000002
0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002,0.5680000000000002
0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002,0.5690000000000002
0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002,0.5700000000000002
0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002,0.5710000000000002
0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002
0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002,0.5730000000000002
0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002,0.5740000000000002
0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002,0.5750000000000002
0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002,0.5770000000000002
0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002,0.5780000000000002
0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002,0.5790000000000002
0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002
0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002,0.5810000000000002
0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002,0.5820000000000002
0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002,0.5830000000000002
0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002,0.5840000000000002
0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002,0.5850000000000002
0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002,0.5860000000000002
0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002,0.5870000000000002
0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002,0.5880000000000002
0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002,0.5890000000000002
0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002,0.5900000000000002
0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002,0.5910000000000002
0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002,0.5920000000000002
0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002,0.5930000000000002
0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002
0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002
0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002,0.5960000000000002
0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002,0.5970000000000002
0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002,0.5980000000000002
0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002,0.5990000000000002
0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002
0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002,0.6010000000000002
0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002,0.6020000000000002
0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002,0.6030000000000002
0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002,0.6040000000000002
0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002,0.6050000000000002
0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002,0.6060000000000002
0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002,0.6070000000000002
0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002,0.6080000000000002
0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002,0.6090000000000002
0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002,0.6100000000000002
0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002,0.6110000000000002
0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002,0.6120000000000002
0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002,0.6130000000000002
0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002,0.6140000000000002
0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002,0.6150000000000002
0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002
0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002,0.6170000000000002
0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002,0.6180000000000002
0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002,0.6190000000000002
0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002
